Time Frame: 1950-1950, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1951-1951, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1952-1952, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1953-1953, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1954-1954, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1955-1955, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1956-1956, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1957-1957, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1958-1958, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1959-1959, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1960-1960, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1961-1961, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1962-1962, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1963-1963, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1964-1964, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1965-1965, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1966-1966, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1967-1967, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1968-1968, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1969-1969, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1970-1970, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1971-1971, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1972-1972, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1973-1973, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1974-1974, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1975-1975, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1976-1976, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1977-1977, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1978-1978, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1979-1979, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1980-1980, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1981-1981, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1982-1982, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1983-1983, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1984-1984, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1985-1985, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1986-1986, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1987-1987, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1988-1988, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1989-1989, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1990-1990, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1991-1991, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 1992-1992, Number of Nodes: 100, Number of Edges: 2, Number of Common Edges: 2
Time Frame: 1993-1993, Number of Nodes: 222, Number of Edges: 16, Number of Common Edges: 16
Time Frame: 1994-1994, Number of Nodes: 285, Number of Edges: 14, Number of Common Edges: 14
Time Frame: 1995-1995, Number of Nodes: 319, Number of Edges: 24, Number of Common Edges: 24
Time Frame: 1996-1996, Number of Nodes: 300, Number of Edges: 31, Number of Common Edges: 31
Time Frame: 1997-1997, Number of Nodes: 321, Number of Edges: 38, Number of Common Edges: 38
Time Frame: 1998-1998, Number of Nodes: 345, Number of Edges: 56, Number of Common Edges: 56
Time Frame: 1999-1999, Number of Nodes: 294, Number of Edges: 54, Number of Common Edges: 54
Time Frame: 2000-2000, Number of Nodes: 257, Number of Edges: 95, Number of Common Edges: 95
Time Frame: 2001-2001, Number of Nodes: 175, Number of Edges: 124, Number of Common Edges: 124
Time Frame: 2002-2002, Number of Nodes: 8, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 2003-2003, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 2004-2004, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
Time Frame: 2005-2005, Number of Nodes: 0, Number of Edges: 0, Number of Common Edges: 0
No nodes to plot.
